cxmethod;cxpb;indpb;mu;ngen;median;mean;stdev;kstest
mate;0.6;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate;0.6;0.01;152;2000;0.6093044373273013;0.616586873751995;0.08703369785071699;3.552373321991458e-14
mate;0.6;0.001;152;2000;0.6969279797451022;0.6746819681630934;0.09756505065122298;2.1684088755250916e-14
mate;0.7;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate;0.7;0.01;152;2000;0.6257732891599239;0.6137405606344501;0.08661607198646461;1.4497268173738192e-13
mate;0.7;0.001;152;2000;0.706043528055335;0.695964135023051;0.09741423701506528;7.014272159046614e-15
mate;0.8;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate;0.8;0.01;152;2000;0.6665152193971896;0.6542729328034929;0.10277176643888272;8.889919366975778e-14
mate;0.8;0.001;152;2000;0.6916697845326547;0.7088572643908466;0.07807225086759956;1.9217566311243426e-15
mate_aligned;0.6;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate_aligned;0.6;0.01;152;2000;0.6390444763552869;0.6452065471375128;0.08796905694430104;3.5544981321769666e-14
mate_aligned;0.6;0.001;152;2000;0.7143426206137372;0.72472047624246;0.07398097937429235;2.1829560680139634e-16
mate_aligned;0.7;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate_aligned;0.7;0.01;152;2000;0.6285070971870882;0.6087313388869812;0.11053511619227249;2.2450031760251016e-13
mate_aligned;0.7;0.001;152;2000;0.7029260152814694;0.7104111878364568;0.08139017322852521;7.883920349298157e-16
mate_aligned;0.8;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate_aligned;0.8;0.01;152;2000;0.6637302300750286;0.6471971319917141;0.09878718836311144;1.8894260258760068e-13
mate_aligned;0.8;0.001;152;2000;0.6799093368576465;0.6647584495737816;0.08519103036066066;4.868260116441005e-14
FriedmanchisquareResult(statistic=378.9386152748037, pvalue=4.637843754758422e-70)
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.989659625430011
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.49115352654004235
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9988100180102819
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9405913277583514
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9998005949030767
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.8830055418594709
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999736749551065
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.3809141729677374
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9998218081004289
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.8830055418594709
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.984267183711372
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.6;0.01;152;2000 ... pvalue: 0.010753089966255945
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.7;0.01;152;2000 ... pvalue: 0.0075070663990948775
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.7940445814262003
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.2276484534515688
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.8995255515120358
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.11992499559553982
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9671643711554367
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.014602704784222504
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.911936227258006
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.1452360747469173
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.358594406803188
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.8;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.01;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.5147419743498594
mannwhitneyu: mate;0.7;0.01;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.9927939083250621
mannwhitneyu: mate;0.7;0.01;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9992788358984023
mannwhitneyu: mate;0.7;0.01;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9293612467797542
mannwhitneyu: mate;0.7;0.01;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9999207695304337
mannwhitneyu: mate;0.7;0.01;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.8995255515120358
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999912604333414
mannwhitneyu: mate;0.7;0.01;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.47936574540672183
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9999159341781249
mannwhitneyu: mate;0.7;0.01;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.9332729562061035
mannwhitneyu: mate;0.7;0.01;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.9848412855933449
mannwhitneyu: mate;0.7;0.001;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 > mate;0.6;0.01;152;2000 ... pvalue: 0.0012496961636138408
mannwhitneyu: mate;0.7;0.001;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.21019316480390665
mannwhitneyu: mate;0.7;0.001;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 > mate;0.7;0.01;152;2000 ... pvalue: 0.0007588980953065579
mannwhitneyu: mate;0.7;0.001;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.0880637727419939
mannwhitneyu: mate;0.7;0.001;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.7203847321040466
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.021033410661917815
mannwhitneyu: mate;0.7;0.001;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.8614054051134761
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.0015914795808253679
mannwhitneyu: mate;0.7;0.001;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.679288238739834
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.7;0.001;152;2000 > mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.033934430409721626
mannwhitneyu: mate;0.7;0.001;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.10047444848796416
mannwhitneyu: mate;0.8;0.1;152;2000 . mate;0.6;0.1;152;2000 ... pvalue: 1.0
