cxmethod;cxpb;indpb;mu;ngen;median;mean;stdev;kstest
mate;0.6;0.1;152;2000;0.0;0.00031702802318829125;0.001569354839926561;1.84673100296042e-07
mate;0.6;0.01;152;2000;0.7570170004516601;0.7514088588062079;0.0640355771324685;1.5566376688267708e-16
mate;0.6;0.001;152;2000;0.6787096709222438;0.6860533886144903;0.08133420738950022;2.8755535063675134e-14
mate;0.7;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate;0.7;0.01;152;2000;0.7455555422509644;0.7533889577757555;0.056956432448893535;1.1129841471813707e-17
mate;0.7;0.001;152;2000;0.6736990903099682;0.6543933994897563;0.07395225153683527;2.0273861385387782e-14
mate;0.8;0.1;152;2000;0.0;8.75975673149102e-07;4.797916360095356e-06;1.84673100296042e-07
mate;0.8;0.01;152;2000;0.75535123268538;0.7571318720383591;0.06340085788989713;1.1827977960389308e-17
mate;0.8;0.001;152;2000;0.6677097850258221;0.6759412666909639;0.07921524667408629;1.3007966144254458e-14
mate_aligned;0.6;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate_aligned;0.6;0.01;152;2000;0.7998157594572297;0.7889353675144999;0.07699685703240566;1.1816575598854779e-17
mate_aligned;0.6;0.001;152;2000;0.7102363238437703;0.6995456827908955;0.060815266520664796;4.0031768563366676e-16
mate_aligned;0.7;0.1;152;2000;0.0;2.498753744978323e-06;9.552174408485395e-06;1.84673100296042e-07
mate_aligned;0.7;0.01;152;2000;0.7637186100573995;0.7576695487051668;0.05855918611321862;1.8560245044915326e-17
mate_aligned;0.7;0.001;152;2000;0.6758087979180669;0.6825434302023905;0.07144080902016825;3.059662329935354e-15
mate_aligned;0.8;0.1;152;2000;0.0;0.0;0.0;1.84673100296042e-07
mate_aligned;0.8;0.01;152;2000;0.7583079659546744;0.7509837170148967;0.055141781596839384;2.149156419834264e-17
mate_aligned;0.8;0.001;152;2000;0.6546162996211498;0.6577229343755828;0.07632185255747005;1.1381647853439531e-14
KruskalResult(statistic=420.9695208010612, pvalue=7.590490842304931e-79)
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.1;152;2000 ... pvalue: 0.08040106072011027
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.1;152;2000 ... pvalue: 0.272013352828276
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.1;152;2000 ... pvalue: 0.08040106072011027
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.1;152;2000 ... pvalue: 0.4795497400216233
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.1;152;2000 ... pvalue: 0.08040106072011027
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.1;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.9999999999989421
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 1.1828367915071022e-12
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.6;0.001;152;2000 ... pvalue: 0.0006851662805243827
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.3696994096557248
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.7;0.001;152;2000 ... pvalue: 2.7310164310611966e-06
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 8.601255015657742e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.49115352654004235
mannwhitneyu: mate;0.6;0.01;152;2000 > mate;0.8;0.001;152;2000 ... pvalue: 7.923046956621305e-05
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9722271534328272
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.0007984433525880061
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 1.1828367915071022e-12
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.5906271732617101
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.0002490908361671177
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.01;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.3313673790880535
mannwhitneyu: mate;0.6;0.01;152;2000 > mate_aligned;0.8;0.001;152;2000 ... pvalue: 9.981387695042038e-06
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.6;0.1;152;2000 ... pvalue: 1.1828367915071022e-12
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.999349167745281
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.7;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.9996352446949652
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.08572502372985508
mannwhitneyu: mate;0.6;0.001;152;2000 > mate;0.8;0.1;152;2000 ... pvalue: 8.601255015657742e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9995239629803637
mannwhitneyu: mate;0.6;0.001;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.3050037760188406
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.6;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9999928508220643
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.7633267213707753
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.7;0.1;152;2000 ... pvalue: 1.1828367915071022e-12
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.9998005949030767
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.358594406803188
mannwhitneyu: mate;0.6;0.001;152;2000 > mate_aligned;0.8;0.1;152;2000 ... pvalue: 6.058901985029879e-13
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.8;0.01;152;2000 ... pvalue: 0.9992411019046934
mannwhitneyu: mate;0.6;0.001;152;2000 . mate_aligned;0.8;0.001;152;2000 ... pvalue: 0.09044976674896149
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.1;152;2000 ... pvalue: 0.9264591948536022
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.1;152;2000 ... pvalue: 0.8492760334309752
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate;0.8;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.1;152;2000 ... pvalue: 1.0
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.6;0.001;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.1;152;2000 ... pvalue: 0.9264591948536022
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.01;152;2000 ... pvalue: 0.9999999999994597
mannwhitneyu: mate;0.7;0.1;152;2000 . mate_aligned;0.7;0.001;152;2000 ... pvalue: 0.9999999999994597
