cxmethod;cxpb;indpb;mu;ngen;median;mean;stdev;kstest
mate;0.6;0.1;152;2000;0.6994356815541591;0.6988673600412102;0.024463062860231224;1.428748042931231e-17
mate;0.6;0.01;152;2000;0.9204132416999029;0.9171723796790661;0.029952385619467326;1.4947793087327682e-21
mate;0.6;0.001;152;2000;0.8755708006152871;0.8673031954784758;0.03323248159007247;9.697954632010132e-20
mate;0.7;0.1;152;2000;0.6924067239045948;0.6948488036257011;0.02322684450319281;1.4127275689485735e-17
mate;0.7;0.01;152;2000;0.9102794751678649;0.9105249153944955;0.023509350100139943;3.0898535816322364e-21
mate;0.7;0.001;152;2000;0.8515667046659545;0.8551564129098187;0.032347605229596205;2.3489095512918435e-20
mate;0.8;0.1;152;2000;0.6731609489864064;0.6701602511991325;0.03332468658700681;9.493087657286505e-17
mate;0.8;0.01;152;2000;0.9094268358498699;0.9087899022708339;0.030125795017058435;7.309844962081015e-21
mate;0.8;0.001;152;2000;0.8678906366075602;0.8633910771838578;0.03481748670203525;3.484224145136209e-20
mate_aligned;0.6;0.1;152;2000;0.7100275732841315;0.7093740539821668;0.0328820693709164;2.0535332644206848e-17
mate_aligned;0.6;0.01;152;2000;0.9232260763259208;0.9142107493941616;0.030272153206410315;2.0603405758827183e-21
mate_aligned;0.6;0.001;152;2000;0.8918155386029651;0.8843756074363156;0.021542551537039527;5.234915452175051e-21
mate_aligned;0.7;0.1;152;2000;0.689297033950897;0.6880340230036421;0.027407704329699134;5.3344951233636206e-17
mate_aligned;0.7;0.01;152;2000;0.9160216797253609;0.9144789762157112;0.025091612247844765;1.2278540003697059e-21
mate_aligned;0.7;0.001;152;2000;0.8643047273055705;0.866190441089161;0.026835702773484117;1.9170379223691542e-20
mate_aligned;0.8;0.1;152;2000;0.6815288029960467;0.6852003990120584;0.02522386576330053;2.7349999369028314e-17
mate_aligned;0.8;0.01;152;2000;0.9192428136450059;0.9147577498206915;0.02443233777812761;1.0712037091888472e-21
mate_aligned;0.8;0.001;152;2000;0.8664494182217537;0.8641754792483621;0.031163160351403377;3.549717113263201e-20
KruskalResult(statistic=431.47129184637515, pvalue=4.78312940789126e-81)
